condition,curvature,weighting,loss_aversion,inverse_temperature,label_bias,fit_rmse,converged,boundary_parameters,label_gap,min_answer_mass,layer,answer_mass_below_0_95_count,max_relative_norm_error,requested_norm,scale_family,cosine_readout,cosine_persona,planted_probability_rmse,cpt_predictive_rmse,action_predictive_rmse
gradient_l48_sign-1,0.481271334703406,1.5,0.3,7.651390547226214,-0.6477680365926255,0.345413920245182,True,"weighting,loss_aversion",0.20423133811796168,1.3036147720413283e-05,48,233,0.001049637794494629,1.0,common_norm,1.0000001192092896,0.035999879240989685,,0.3554497080027356,0.08937644190958896
gradient_l50_sign+1,0.5025362841483375,1.196629865356454,0.3,9.16362810720189,-1.3665509565753247,0.2858386015843334,True,loss_aversion,0.27790061834634433,0.9977615475654602,50,0,0.001741170883178711,1.0,common_norm,1.0000001192092896,0.033169783651828766,,0.2995435792659485,0.04677978884304684
gradient_l50_sign-1,0.4845235665472201,1.5,0.3,7.757240186272149,-0.6834670683536143,0.34498918155392366,True,"weighting,loss_aversion",0.20758740016102561,2.8258034944883548e-05,50,218,0.0017102956771850586,1.0,common_norm,1.0000001192092896,0.033169783651828766,,0.35567511519183326,0.0696587549469607
lora_combined,0.5081531335509368,1.1489464073239293,1.4103213666981134,1.679490733256231,0.0849783226184285,0.10125329240973258,True,,0.08229658080057965,0.9990197420120239,,0,,,,,,0.15701657005473138,0.11055850059643679,0.3097198324799314
lora_curvature_only,0.5157724242590344,1.1494272859355548,0.6695649464059426,1.9952150595642406,0.10853345197303411,0.09027467552311248,True,,0.07115567678378688,0.9996121525764465,,0,,,,,,0.1353142237530131,0.09841773778064879,0.2978487452156161
lora_loss_aversion_only,0.6443915875172508,1.1786001584988695,1.451657141828629,1.5513432236419549,0.11009157469426688,0.12581803534970426,True,,0.08825558397091098,0.9991165399551392,,0,,,,,,0.17033446019869325,0.12885719710096646,0.3034441336777318
lora_weighting_only,0.5987250251084926,1.0721323475723972,0.6050574103663917,1.1525757083183514,0.18426659568362846,0.08122394865413189,True,,0.08723562587466505,0.9995936155319214,,0,,,,,,0.17759370777964195,0.08785266121743864,0.33889173721393534
loss_aversion_only_mean_delta_fitted_magnitude,0.6040930246876745,1.187948744054302,0.7410992545028972,3.455248575783386,0.28268412642544766,0.16943630775494156,True,,0.13589934743552778,0.9999592900276184,50,0,0.00015191210460574478,8.035587310791016,discovery_fitted_magnitude,0.06128251552581787,-0.004538551904261112,0.21492709755932785,0.17620226560207145,0.2077102170013283
loss_aversion_only_mean_delta_sign+1,0.5128427248924993,1.5,0.3,9.021918643807616,-1.052426357298257,0.30377696898957907,True,"weighting,loss_aversion",0.21676308471559144,0.9860407710075378,50,0,0.0007047653198242188,1.0,common_norm,0.06128251552581787,-0.004538551904261112,0.4076372300962079,0.3179506615958263,0.021113271769741634
loss_aversion_only_mean_delta_sign-1,0.49800116929081395,1.5,0.3,9.661038361702158,-1.4432287750694002,0.3053153876010183,True,"weighting,loss_aversion",0.27112836338307245,0.004215450957417488,50,76,0.0007899999618530273,1.0,common_norm,0.06128251552581787,-0.004538551904261112,,0.3170942060771331,0.01813523425552229
loss_aversion_only_sae_preference_k10_fitted_magnitude,0.5028055877933516,1.5,0.3,9.234209554308134,-1.1330964310735556,0.3034661358482082,True,"weighting,loss_aversion",0.23288798896093757,0.9525867700576782,50,0,0.000768670667285476,1.7644020318984985,discovery_fitted_magnitude,0.01173755619674921,0.017900217324495316,0.4160393226773577,0.3166554896167947,0.03946505118038835
loss_aversion_only_sae_preference_k10_sign+1,0.5038808028906832,1.5,0.3,9.429364970999904,-1.2099182380132385,0.3024121154397985,True,"weighting,loss_aversion",0.23722440298177444,0.8522278666496277,50,10,0.0010070205335033222,1.0,common_norm,0.01173755619674921,0.017900217324495316,0.4179779560117739,0.3158578054145959,0.01981799855101908
loss_aversion_only_sae_preference_k10_sign-1,0.5055547382176894,1.5,0.3,9.4897623236697,-1.338389654432221,0.30377493371443504,True,"weighting,loss_aversion",0.24923252472201723,0.12600672245025635,50,50,0.0012101531750055017,1.0,common_norm,0.01173755619674921,0.017900217324495316,,0.3181867026759107,0.01972801513410943
loss_aversion_only_sae_preference_k1_fitted_magnitude,0.5033938300338697,1.5,0.3,9.50985990434592,-1.242872895670212,0.30261361938802633,True,"weighting,loss_aversion",0.24027723764431994,0.5077870488166809,50,30,0.0011819128727801331,0.8878317475318909,discovery_fitted_magnitude,-0.015716178342700005,0.007819034159183502,0.42024400217025965,0.3168000699274969,0.019212432673744624
loss_aversion_only_sae_preference_k1_sign+1,0.5032635178133694,1.5,0.3,9.471836836275433,-1.2350961774490736,0.30318233819623525,True,"weighting,loss_aversion",0.24028860758702061,0.5134209990501404,50,31,0.0006562471389770508,1.0,common_norm,-0.015716178342700005,0.007819034159183502,0.41997876827692593,0.3171338990699805,0.018617013232846553
