feature,scope,sign,target,cosine_to_readout,discovery_ce,discovery_teacher_rmse,min_answer_mass
18195,final,1,combined,0.023116346448659897,2.569401225067339,0.4143512182778184,0.9999982714653015
18195,final,1,neutral,0.023116346448659897,2.671327527369312,0.40582273989665496,0.9999982714653015
19760,final,-1,combined,-0.02533065900206566,1.6102004849237848,0.31412559466704576,0.999860405921936
19760,final,-1,neutral,-0.02533065900206566,1.6915278568583427,0.3094056641169706,0.999860405921936
19760,final,1,combined,-0.02533065900206566,4.464152047178973,0.49506761740752375,0.0209055095911026
19760,final,1,neutral,-0.02533065900206566,4.580817945604917,0.4758976084679969,0.0209055095911026
23671,final,-1,combined,0.0020720940083265305,2.4106828081194873,0.3610238256217415,0.9999793171882629
23671,final,-1,neutral,0.0020720940083265305,2.5635710067137114,0.362618050083585,0.9999793171882629
23671,final,1,combined,0.0020720940083265305,2.1820395516996607,0.375125644987137,0.9999964237213135
23671,final,1,neutral,0.0020720940083265305,2.2456250152479327,0.36788986410260344,0.9999964237213135
1400,final,-1,combined,-0.0009813366923481226,4.11654530854235,0.5089817923861438,0.9999477863311768
1400,final,-1,neutral,-0.0009813366923481226,4.122432306971843,0.4910836461339814,0.9999477863311768
1400,final,1,combined,-0.0009813366923481226,7.921994943509184,0.5898468191614203,0.9999985098838806
1400,final,1,neutral,-0.0009813366923481226,7.946532341671918,0.575492351947418,0.9999985098838806
41043,final,-1,combined,0.005147683899849653,20.305216759704983,0.3317865351482557,2.414126407460082e-12
41043,final,-1,neutral,0.005147683899849653,20.426421609746846,0.3391097296405452,2.414126407460082e-12
41043,final,1,combined,0.005147683899849653,2.1356253788702513,0.33301828863858685,0.9999209642410278
41043,final,1,neutral,0.005147683899849653,2.230943133520691,0.3374052042239889,0.9999209642410278
29425,final,-1,combined,-0.018174264580011368,2.3073462113418937,0.37154314989167825,0.8175631761550903
29425,final,-1,neutral,-0.018174264580011368,2.4233528781328197,0.36957129190385923,0.8175631761550903
29425,final,1,combined,-0.018174264580011368,3.60777119010116,0.33174267897713405,0.9940892457962036
29425,final,1,neutral,-0.018174264580011368,3.8977326090346014,0.3391932004606189,0.9940892457962036
6020,final,-1,combined,-0.009417647495865822,1.9206763314895579,0.32410218834081284,0.9999982118606567
6020,final,-1,neutral,-0.009417647495865822,2.0115896694485014,0.3255739010845018,0.9999982118606567
6020,final,1,combined,-0.009417647495865822,2.8652756413221465,0.32623009542590853,0.9999983310699463
6020,final,1,neutral,-0.009417647495865822,3.0636723188974986,0.3371136203262352,0.9999983310699463
17838,final,-1,combined,0.06822274625301361,3.752044278316605,0.3396886007691108,0.9999905228614807
17838,final,-1,neutral,0.06822274625301361,3.9765190522657825,0.33958585654606754,0.9999905228614807
17838,final,1,combined,0.06822274625301361,0.8863031183220151,0.3723479857797779,0.9940983057022095
